,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
45,6.25,1,15,6.666666666666667,0.03801317790167258,[2.66666667 0.4       ],[1.66666667 0.2       ],53.333333333333336,26.666666666666668,[1. 1.],[1. 1.],0.0,0.0
46,6.5,47,306,15.359477124183007,0.7754688291941206,[2.17973856 1.16339869],[1.03267974 0.4869281 ],65.0326797385621,20.915032679738562,[1.25531915 1.25531915],[0.61702128 0.44680851],34.04255319148936,14.893617021276595
47,6.75,1,2,50.0,0.00506842372022301,[2.  2.5],[0. 2.],50.0,50.0,[1. 1.],[0. 1.],0.0,0.0
48,7.0,20,248,8.064516129032258,0.6284845413076533,[2.30241935 1.12903226],[1.04032258 0.49596774],67.33870967741935,18.14516129032258,[1. 1.],[0.5  0.35],30.0,15.0
49,7.5,14,150,9.333333333333334,0.3801317790167258,[2.73333333 0.92      ],[1.15333333 0.47333333],72.0,24.0,[1.21428571 1.21428571],[0.78571429 0.64285714],28.57142857142857,21.428571428571427
50,8.0,24,160,15.0,0.40547389761784086,[2.2625 1.2   ],[0.95625 0.54375],68.75,20.625,[1.33333333 1.33333333],[0.45833333 0.5       ],37.5,4.166666666666666
51,8.5,7,82,8.536585365853659,0.20780537252914344,[2.80487805 0.97560976],[1.34146341 0.41463415],71.95121951219512,23.170731707317074,[1.57142857 1.57142857],[0.42857143 0.85714286],42.857142857142854,14.285714285714285
52,9.0,5,84,5.952380952380952,0.21287379624936645,[3.11904762 0.86904762],[1.3452381  0.36904762],69.04761904761905,32.142857142857146,[2. 2.],[0.4 1.4],60.0,40.0
53,9.5,2,19,10.526315789473683,0.048150025342118596,[2.57894737 0.52631579],[1.31578947 0.42105263],52.63157894736842,21.052631578947366,[0.5 0.5],[0. 0.],0.0,0.0
54,10.0,4,53,7.547169811320755,0.13431322858590977,[2.9245283  0.64150943],[1.28301887 0.32075472],67.9245283018868,18.867924528301888,[1.25 1.25],[0.75 0.5 ],25.0,0.0
55,11.0,4,35,11.428571428571429,0.0886974151039027,[3.77142857 0.8       ],[1.68571429 0.31428571],85.71428571428571,28.57142857142857,[1.25 1.25],[0.75 0.75],50.0,25.0
56,12.0,1,25,4.0,0.06335529650278764,[3.16 0.64],[1.52 0.16],84.0,16.0,[1. 1.],[1. 0.],0.0,0.0
57,13.0,1,25,4.0,0.06335529650278764,[3.48 0.6 ],[1.6  0.24],84.0,32.0,[0. 0.],[0. 0.],0.0,0.0
58,15.0,1,5,20.0,0.012671059300557527,[3.8 0. ],[1.8 0. ],80.0,40.0,[0. 0.],[0. 0.],0.0,0.0
59,17.0,0,1,0.0,0.002534211860111505,[4. 2.],[2. 0.],100.0,0.0,,,,
