,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
14,1.28,39,48,81.25,0.12164216928535225,[0.875      2.41666667],[0.41666667 1.16666667],64.58333333333334,20.833333333333336,[0.51282051 2.71794872],[0.28205128 1.30769231],64.1025641025641,20.51282051282051
15,1.29,24,28,85.71428571428571,0.07095793208312215,[0.60714286 2.5       ],[0.10714286 1.10714286],64.28571428571429,14.285714285714285,[0.45833333 2.79166667],[0.08333333 1.20833333],66.66666666666666,12.5
16,1.3,46,72,63.888888888888886,0.1824632539280284,[1.08333333 2.05555556],[0.52777778 0.86111111],62.5,12.5,[0.54347826 2.56521739],[0.19565217 1.04347826],71.73913043478261,4.3478260869565215
17,1.33,111,136,81.61764705882352,0.3446528129751647,[0.63235294 2.40441176],[0.30882353 0.97794118],62.5,11.029411764705882,[0.54054054 2.81081081],[0.27927928 1.13513514],71.17117117117117,12.612612612612612
18,1.36,109,154,70.77922077922078,0.3902686264571718,[0.84415584 2.31168831],[0.45454545 1.08441558],60.3896103896104,20.77922077922078,[0.52293578 2.78899083],[0.27522936 1.27522936],66.97247706422019,22.018348623853214
19,1.38,3,5,60.0,0.012671059300557527,[0.8 2.2],[0.4 1. ],60.0,20.0,[0.33333333 2.66666667],[0.33333333 1.        ],66.66666666666666,33.33333333333333
20,1.4,129,193,66.83937823834198,0.4891028890015205,[0.80310881 2.07772021],[0.31088083 0.92746114],57.51295336787565,11.398963730569948,[0.50387597 2.63565891],[0.24031008 1.17054264],65.89147286821705,13.953488372093023
21,1.42,3,4,75.0,0.01013684744044602,[0.75 2.75],[0.  1.5],75.0,25.0,[1.         3.66666667],[0. 2.],100.0,33.33333333333333
22,1.44,99,142,69.71830985915493,0.35985808413583376,[0.84507042 2.04225352],[0.41549296 0.97887324],55.633802816901415,15.492957746478872,[0.54545455 2.56565657],[0.24242424 1.23232323],63.63636363636363,17.17171717171717
23,1.45,81,126,64.28571428571429,0.3193106943740497,[0.96825397 2.07142857],[0.4047619  0.84920635],57.936507936507944,10.317460317460316,[0.7037037 2.7037037],[0.33333333 1.07407407],70.37037037037037,13.580246913580247
24,1.48,3,7,42.857142857142854,0.017739483020780537,[1.14285714 1.71428571],[0.57142857 1.        ],57.14285714285714,28.57142857142857,[1. 3.],[0.66666667 2.        ],66.66666666666666,66.66666666666666
25,1.5,157,213,73.70892018779342,0.5397871262037507,[0.7370892  2.31455399],[0.33802817 1.03755869],59.624413145539904,18.779342723004692,[0.49681529 2.80254777],[0.22929936 1.24840764],66.87898089171973,21.019108280254777
26,1.53,92,137,67.15328467153284,0.3471870248352762,[0.86861314 2.2189781 ],[0.35766423 1.06569343],59.854014598540154,21.897810218978105,[0.57608696 2.84782609],[0.26086957 1.31521739],71.73913043478261,26.08695652173913
27,1.55,67,93,72.04301075268818,0.23568170299037,[0.80645161 2.17204301],[0.46236559 1.02150538],58.06451612903226,24.731182795698924,[0.59701493 2.67164179],[0.32835821 1.19402985],65.67164179104478,26.865671641791046
28,1.57,87,146,59.589041095890416,0.3699949315762798,[0.94520548 1.81506849],[0.34931507 0.7739726 ],57.534246575342465,9.58904109589041,[0.49425287 2.33333333],[0.1954023  1.01149425],62.06896551724138,11.494252873563218
29,1.6,52,92,56.52173913043478,0.2331474911302585,[0.97826087 1.64130435],[0.30434783 0.76086957],51.08695652173913,10.869565217391305,[0.51923077 2.23076923],[0.17307692 1.05769231],55.769230769230774,13.461538461538462
30,1.61,61,95,64.21052631578948,0.240750126710593,[0.95789474 1.95789474],[0.33684211 1.01052632],56.84210526315789,13.684210526315791,[0.59016393 2.44262295],[0.2295082  1.18032787],63.934426229508205,16.39344262295082
31,1.62,38,56,67.85714285714286,0.1419158641662443,[0.75       2.19642857],[0.35714286 0.96428571],55.35714285714286,14.285714285714285,[0.5        2.81578947],[0.23684211 1.21052632],65.78947368421053,15.789473684210526
32,1.65,83,143,58.04195804195804,0.36239229599594525,[1.07692308 1.83216783],[0.47552448 0.83916084],52.44755244755245,16.083916083916083,[0.6626506  2.53012048],[0.25301205 1.1686747 ],59.036144578313255,16.867469879518072
33,1.66,79,146,54.109589041095894,0.3699949315762798,[1.01369863 1.70547945],[0.5        0.71917808],53.42465753424658,10.273972602739725,[0.56962025 2.40506329],[0.32911392 0.98734177],58.22784810126582,11.39240506329114
34,1.67,42,67,62.68656716417911,0.16979219462747086,[0.98507463 1.88059701],[0.47761194 0.91044776],58.2089552238806,14.925373134328357,[0.5952381  2.38095238],[0.30952381 1.19047619],61.904761904761905,19.047619047619047
35,1.7,117,197,59.390862944162436,0.49923973644196656,[0.91878173 1.8680203 ],[0.38071066 0.75634518],53.80710659898477,10.65989847715736,[0.51282051 2.56410256],[0.15384615 1.01709402],64.95726495726495,11.965811965811966
36,1.72,74,139,53.23741007194245,0.35225544855549923,[0.99280576 1.68345324],[0.44604317 0.74100719],51.798561151079134,12.949640287769784,[0.64864865 2.51351351],[0.33783784 1.06756757],63.51351351351351,18.91891891891892
37,1.73,46,80,57.49999999999999,0.20273694880892043,[0.95   1.9375],[0.3875 0.675 ],56.25,5.0,[0.54347826 2.65217391],[0.15217391 0.97826087],71.73913043478261,2.1739130434782608
38,1.75,121,251,48.20717131474104,0.6360871768879879,[1.05976096 1.60956175],[0.44223108 0.71314741],48.20717131474104,11.553784860557768,[0.56198347 2.44628099],[0.25619835 1.04132231],59.50413223140496,14.049586776859504
39,1.8,150,266,56.390977443609025,0.6741003547896605,[1.04887218 1.81203008],[0.4962406  0.81578947],55.639097744360896,16.541353383458645,[0.63333333 2.57333333],[0.34       1.13333333],67.33333333333333,19.333333333333332
