,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
75,2.88,45,196,22.95918367346939,0.496705524581855,[1.06632653 1.3622449 ],[0.43877551 0.57142857],42.857142857142854,8.673469387755102,[2.42222222 0.64444444],[1.         0.31111111],62.22222222222222,13.333333333333334
76,2.9,198,588,33.6734693877551,1.490116573745565,[1.19387755 1.29081633],[0.50170068 0.62585034],45.91836734693878,9.693877551020408,[2.03030303 0.55555556],[0.84343434 0.31313131],54.04040404040404,11.616161616161616
77,3.0,261,849,30.742049469964666,2.1515458692346683,[1.17196702 1.40989399],[0.52650177 0.61248528],48.29210836277974,9.422850412249705,[2.04980843 0.53256705],[0.88505747 0.19923372],52.10727969348659,8.045977011494253
78,3.1,220,711,30.942334739803094,1.8018246325392802,[1.17158931 1.44303797],[0.52180028 0.63853727],47.67932489451477,12.09563994374121,[2.14545455 0.68181818],[0.87272727 0.33181818],56.36363636363636,12.727272727272727
79,3.2,159,519,30.63583815028902,1.3152559553978713,[1.15606936 1.44701349],[0.51637765 0.63198459],47.01348747591522,11.946050096339114,[2.20754717 0.59748428],[0.97484277 0.28301887],55.34591194968554,13.20754716981132
80,3.25,96,313,30.670926517571885,0.7932083122149011,[1.20447284 1.36421725],[0.5399361  0.57188498],44.08945686900959,8.626198083067091,[2.19791667 0.58333333],[0.95833333 0.19791667],51.041666666666664,10.416666666666668
81,3.3,113,450,25.11111111111111,1.1403953370501774,[1.12       1.51777778],[0.52222222 0.69111111],49.111111111111114,11.555555555555555,[2.08849558 0.56637168],[0.95575221 0.26548673],52.21238938053098,14.15929203539823
82,3.35,0,1,0.0,0.002534211860111505,[2. 4.],[0. 2.],100.0,0.0,,,,
83,3.4,133,479,27.766179540709814,1.213887480993411,[1.13569937 1.46346555],[0.5302714  0.68267223],49.26931106471816,12.526096033402922,[2.04511278 0.54887218],[0.97744361 0.27819549],51.8796992481203,10.526315789473683
84,3.5,122,461,26.46420824295011,1.168271667511404,[1.10412148 1.52494577],[0.48806941 0.73318872],52.27765726681128,11.930585683297181,[2.08196721 0.59836066],[0.93442623 0.29508197],61.47540983606557,7.377049180327869
85,3.6,115,498,23.09236947791165,1.2620375063355296,[1.01004016 1.55421687],[0.4437751  0.72289157],47.59036144578313,13.052208835341366,[2.10434783 0.65217391],[0.88695652 0.26956522],59.130434782608695,9.565217391304348
86,3.7,6,26,23.076923076923077,0.06588950836289914,[0.80769231 1.38461538],[0.38461538 0.61538462],46.15384615384615,7.6923076923076925,[1.66666667 0.66666667],[0.83333333 0.33333333],50.0,16.666666666666664
87,3.75,92,320,28.749999999999996,0.8109477952356817,[1.09375  1.359375],[0.503125 0.540625],42.8125,7.8125,[2.18478261 0.59782609],[0.9673913  0.23913043],58.69565217391305,10.869565217391305
88,3.8,83,354,23.44632768361582,0.8971109984794728,[1.04237288 1.6779661 ],[0.41242938 0.74576271],53.10734463276836,10.16949152542373,[2.02409639 0.5060241 ],[0.79518072 0.27710843],53.01204819277109,6.024096385542169
89,3.9,11,55,20.0,0.1393816523061328,[1.         1.74545455],[0.47272727 0.8       ],50.90909090909091,16.363636363636363,[2.09090909 0.36363636],[1.         0.09090909],36.36363636363637,9.090909090909092
90,4.0,105,461,22.7765726681128,1.168271667511404,[1.02386117 1.67245119],[0.48156182 0.74186551],51.19305856832972,13.665943600867678,[1.97142857 0.55238095],[0.8952381  0.23809524],49.523809523809526,10.476190476190476
91,4.1,2,13,15.384615384615385,0.03294475418144957,[0.61538462 1.69230769],[0.15384615 0.69230769],30.76923076923077,0.0,[2. 1.],[1.  0.5],50.0,0.0
92,4.2,62,325,19.076923076923077,0.8236188545362393,[0.91692308 1.8       ],[0.40923077 0.75076923],51.69230769230769,10.76923076923077,[2.01612903 0.58064516],[0.85483871 0.22580645],58.06451612903226,9.67741935483871
93,4.33,56,288,19.444444444444446,0.7298530157121136,[0.95138889 1.74652778],[0.44791667 0.72222222],52.083333333333336,12.152777777777777,[1.92857143 0.44642857],[0.85714286 0.21428571],44.642857142857146,8.928571428571429
94,4.4,0,1,0.0,0.002534211860111505,[0. 0.],[0. 0.],0.0,0.0,,,,
